GEOID,DISTRICT
370010219013,13
370010219011,13
370010219012,13
370010208011,13
370010208012,13
370010206022,13
370010206021,13
370010219022,13
370010219023,13
370010219021,13
370010206013,13
370010206012,13
370010206011,13
370010212011,13
370010212012,13
370010212013,13
370010207011,13
370010207014,13
370010207013,13
370010207012,13
370010217022,13
370010217021,13
370010217023,13
370010212043,13
370010212041,13
370010212042,13
370010204001,13
370010204003,13
370010204005,13
370010204004,13
370010204002,13
370010207023,13
370010207021,13
370010207022,13
370010207024,13
370010218021,13
370010218022,13
370010211021,13
370010211023,13
370010211022,13
370010205012,13
370010205011,13
370010215003,13
370010215004,13
370010215002,13
370010215001,13
370010201001,13
370010201004,13
370010201003,13
370010201002,13
370010209021,13
370010209022,13
370010220022,13
370010220021,13
370010220023,13
370010212052,13
370010212051,13
370010212053,13
370010214001,13
370010214002,13
370010213001,13
370010213005,13
370010213003,13
370010213002,13
370010213004,13
370010218012,13
370010218013,13
370010218011,13
370010217032,13
370010217031,13
370010212061,13
370010212063,13
370010212062,13
370010220011,13
370010220012,13
370010217013,13
370010217012,13
370010217011,13
370010203003,13
370010203004,13
370010203005,13
370010203001,13
370010203002,13
370010208026,13
370010208022,13
370010208021,13
370010208023,13
370010208025,13
370010208024,13
370010202002,13
370010202003,13
370010202004,13
370010202001,13
370010218032,13
370010218031,13
370010210003,13
370010210002,13
370010210001,13
370010205022,13
370010205021,13
370010205023,13
370010211013,13
370010211011,13
370010211012,13
370010216004,13
370010216001,13
370010216003,13
370010216002,13
370010212072,13
370010212071,13
370010209011,13
370010209012,13
370010209013,13
370030401001,8
370030401003,8
370030401002,8
370030404003,8
370030404005,8
370030404001,8
370030404004,8
370030404002,8
370030405003,8
370030405002,8
370030405004,8
370030405001,8
370030403001,8
370030403002,8
370030402002,8
370030402003,8
370030402001,8
370030406002,8
370030406003,8
370030406001,8
370030407004,8
370030407003,8
370030407002,8
370030407001,8
370059503002,8
370059503003,8
370059503001,8
370059502004,8
370059502001,8
370059502003,8
370059502002,8
370059501001,8
370059501004,8
370059501003,8
370059501002,8
370079203004,10
370079203003,10
370079203002,10
370079203001,10
370079202001,10
370079204002,10
370079204001,10
370079204003,10
370079206003,10
370079206001,10
370079206002,10
370079205003,10
370079205005,10
370079205004,10
370079205001,10
370079205002,10
370079201003,10
370079201001,10
370079201002,10
370099707002,8
370099707001,8
370099707005,8
370099707003,8
370099707004,8
370099704001,8
370099704003,8
370099704002,8
370099704004,8
370099705003,8
370099705004,8
370099705005,8
370099705002,8
370099705001,8
370099702002,8
370099702003,8
370099702001,8
370099703001,8
370099703002,8
370099708001,8
370099708002,8
370099708003,8
370119304002,8
370119304001,8
370119304003,8
370119301001,8
370119301003,8
370119301002,8
370119302003,8
370119302001,8
370119302002,8
370119303022,8
370119303023,8
370119303021,8
370119303011,8
370119303013,8
370119303014,8
370119303012,8
370139302002,6
370139302003,6
370139302001,6
370139304002,6
370139304003,6
370139304004,6
370139304001,6
370139305013,6
370139305011,6
370139305012,6
370139310002,6
370139310003,6
370139310001,6
370139310004,6
370139306002,6
370139306001,6
370139307001,6
370139307002,6
370139308002,6
370139308001,6
370139308003,6
370139303001,6
370139303003,6
370139303002,6
370139309003,6
370139309001,6
370139309002,6
370139301006,6
370139301001,6
370139301003,6
370139301002,6
370139301004,6
370139301005,6
370139305021,6
370139305022,6
370159602003,6
370159602001,6
370159602002,6
370159604004,6
370159604003,6
370159604000,6
370159604006,6
370159604002,6
370159604001,6
370159604007,6
370159604005,6
370159601004,6
370159601001,6
370159601005,6
370159601006,6
370159601002,6
370159601003,6
370159603002,6
370159603001,6
370159603003,6
370179504002,5
370179504003,5
370179504006,5
370179504005,5
370179504004,5
370179504001,5
370179502001,5
370179502002,5
370179503002,5
370179503001,5
370179503005,5
370179503004,5
370179503003,5
370179505005,5
370179505003,5
370179505004,5
370179505002,5
370179505001,5
370179505006,5
370179501003,5
370179501002,5
370179501004,5
370179501001,5
370179501005,5
370179506001,5
370179506006,5
370179506002,5
370179506005,5
370179506007,5
370179506004,5
370179506003,5
370190203032,4
370190203031,4
370190206011,4
370190206012,4
370190205123,4
370190205121,4
370190205122,4
370190205124,4
370190204041,4
370190204043,4
370190204042,4
370190205094,4
370190205095,4
370190205093,4
370190205092,4
370190205096,4
370190205091,4
370190201031,4
370190201033,4
370190201032,4
370190202012,4
370190202011,4
370190205081,4
370190205082,4
370190205101,4
370190205103,4
370190205102,4
370190201041,4
370190201043,4
370190201042,4
370190205053,4
370190205052,4
370190205051,4
370190203093,4
370190203092,4
370190203091,4
370190201021,4
370190203071,4
370190205111,4
370190205112,4
370190201011,4
370190206021,4
370190206024,4
370190206022,4
370190206023,4
370190204021,4
370190204024,4
370190204023,4
370190204025,4
370190204026,4
370190204022,4
370190203041,4
370190203042,4
370190204052,4
370190204051,4
370190203105,4
370190203103,4
370190203104,4
370190203102,4
370190203101,4
370190203051,4
370190203052,4
370190203081,4
370190203082,4
370190203063,4
370190203061,4
370190203062,4
370190202031,4
370190202032,4
370190202022,4
370190202021,4
370190202044,4
370190202041,4
370190202043,4
370190202042,4
370199901000,4
370190205041,4
370190205075,4
370190205073,4
370190205072,4
370190205074,4
370190205071,4
370190206031,4
370190205062,4
370190205061,4
370190204032,4
370190204034,4
370190204035,4
370190204031,4
370190204033,4
370210015001,3
370210027022,3
370210027021,3
370210025043,3
370210025041,3
370210025042,3
370210028043,3
370210028042,3
370210028041,3
370210017001,3
370210017002,3
370210011001,3
370210011002,3
370210011003,3
370210020003,3
370210020004,3
370210020001,3
370210020002,3
370210022062,3
370210022061,3
370210032051,3
370210024023,3
370210024021,3
370210024022,3
370210019002,3
370210019001,3
370210032011,3
370210026041,3
370210026042,3
370210026043,3
370210030011,3
370210030013,3
370210030014,3
370210030012,3
370210005003,3
370210005001,3
370210005002,3
370210003002,3
370210003001,3
370210016003,3
370210016001,3
370210016004,3
370210016002,3
370210026064,3
370210026061,3
370210026062,3
370210026063,3
370210004002,3
370210004003,3
370210004001,3
370210006002,3
370210006001,3
370210027012,3
370210027011,3
370210018012,3
370210018011,3
370210032021,3
370210032022,3
370210032023,3
370210028032,3
370210028031,3
370210022031,3
370210022032,3
370210022033,3
370210024011,3
370210024013,3
370210024012,3
370210025061,3
370210025062,3
370210025063,3
370210022041,3
370210022044,3
370210022042,3
370210022043,3
370210026072,3
370210026073,3
370210026071,3
370210022053,3
370210022052,3
370210022051,3
370210021022,3
370210021021,3
370210025032,3
370210025031,3
370210025051,3
370210025052,3
370210012004,3
370210012001,3
370210012005,3
370210012003,3
370210012002,3
370210018021,3
370210018023,3
370210018022,3
370210026031,3
370210026032,3
370210010002,3
370210010001,3
370210010003,3
370210014005,3
370210014001,3
370210014004,3
370210014002,3
370210014003,3
370210026053,3
370210026051,3
370210026052,3
370210032031,3
370210032033,3
370210032032,3
370210023013,3
370210023011,3
370210023012,3
370210030025,3
370210030022,3
370210030023,3
370210030024,3
370210030021,3
370210021011,3
370210007001,3
370210027032,3
370210027031,3
370210027033,3
370210029001,3
370210029003,3
370210029002,3
370210031031,3
370210009003,3
370210009002,3
370210009001,3
370210008003,3
370210008001,3
370210008002,3
370210031023,3
370210031021,3
370210031024,3
370210031022,3
370210032042,3
370210032043,3
370210032041,3
370210001001,3
370210031042,3
370210031044,3
370210031043,3
370210031041,3
370210031045,3
370210013002,3
370210013001,3
370210002002,3
370210002001,3
370210023023,3
370210023022,3
370210023024,3
370210023021,3
370230209004,8
370230209002,8
370230209005,8
370230209001,8
370230209003,8
370230214001,8
370230214004,8
370230214002,8
370230214003,8
370230203023,8
370230203021,8
370230203022,8
370230203024,8
370230210003,8
370230210002,8
370230210001,8
370230210004,8
370230213021,8
370230213023,8
370230213022,8
370230208011,8
370230208013,8
370230208012,8
370230213013,8
370230213011,8
370230213012,8
370230203012,8
370230203011,8
370230203013,8
370230203014,8
370230212021,8
370230212023,8
370230212022,8
370230201002,8
370230201003,8
370230201001,8
370230211001,8
370230211003,8
370230211002,8
370230212012,8
370230212011,8
370230212013,8
370230205002,8
370230205001,8
370230208021,8
370230208022,8
370230202014,8
370230202011,8
370230202013,8
370230202012,8
370230212032,8
370230212031,8
370230206003,8
370230206004,8
370230206001,8
370230206002,8
370230202022,8
370230202021,8
370250426041,10
370250410001,10
370250410002,10
370250410003,10
370250410004,10
370250407012,10
370250407011,10
370250406003,10
370250406001,10
370250406002,10
370250425041,10
370250426023,10
370250426021,10
370250426022,10
370250415031,10
370250405001,10
370250405003,10
370250405002,10
370250405004,10
370250421022,10
370250421021,10
370250421014,10
370250421013,10
370250421011,10
370250421012,10
370250407021,10
370250407023,10
370250407022,10
370250409001,10
370250425012,10
370250425011,10
370250424021,10
370250424023,10
370250424022,10
370250417013,10
370250417012,10
370250417011,10
370250417021,10
370250417022,10
370250425031,10
370250413011,10
370250415021,10
370250415023,10
370250415022,10
370250415011,10
370250415012,10
370250426011,10
370250426012,10
370250416021,10
370250416013,10
370250416011,10
370250416012,10
370250416014,10
370250426031,10
370250426033,10
370250426032,10
370250419012,10
370250419011,10
370250419021,10
370250419023,10
370250419022,10
370250407032,10
370250407031,10
370250423001,10
370250423004,10
370250423002,10
370250423003,10
370250413031,10
370250413032,10
370250412002,10
370250412003,10
370250412001,10
370250422004,10
370250422001,10
370250422003,10
370250422002,10
370250422005,10
370250422006,10
370250425021,10
370250413023,10
370250413022,10
370250413021,10
370250408003,10
370250408001,10
370250408002,10
370250424011,10
370250424012,10
370250411002,10
370250411001,10
370250411004,10
370250411003,10
370250420001,10
370250420003,10
370250420002,10
370270301001,8
370270301004,8
370270301005,8
370270301003,8
370270301002,8
370270301006,8
370270306002,8
370270306001,8
370270306003,8
370270314032,8
370270314031,8
370270305001,8
370270305002,8
370270305003,8
370270314012,8
370270314011,8
370270311002,8
370270311001,8
370270311004,8
370270311003,8
370270314022,8
370270314021,8
370270314023,8
370270302004,8
370270302003,8
370270302002,8
370270302001,8
370270310002,8
370270310001,8
370270310003,8
370270307004,8
370270307002,8
370270307005,8
370270307003,8
370270307001,8
370270308002,8
370270308001,8
370270308004,8
370270308003,8
370270308005,8
370270312011,8
370270312013,8
370270312012,8
370270312014,8
370270309004,8
370270309002,8
370270309001,8
370270309003,8
370270303004,8
370270303002,8
370270303003,8
370270303001,8
370270312022,8
370270312021,8
370270304002,8
370270304001,8
370270304003,8
