GEOID,DISTRICT
2616310,1
2616320,1
2616330,1
2616340,1
2616350,1
2616360,1
2616370,1
2616380,1
2616390,1
26163100,1
26163110,1
26163120,1
26163130,1
26163140,1
26163150,1
26163160,1
26163170,1
26163180,1
26163190,1
26163200,1
26163210,1
26163220,1
26163230,1
26163240,1
26163250,1
26163260,1
26163270,1
26163280,1
26163290,1
26163300,1
26163310,1
26163320,1
26163330,1
26163340,1
26163350,1
26163360,1
26163370,1
26163380,1
26163390,1
26163400,1
26163410,1
26163420,1
26163430,1
26163440,1
26163450,1
26163460,1
26163470,1
26163480,1
26163490,1
26163500,1
26163510,1
26163520,1
26163530,1
26163540,1
26163550,1
26163560,1
26163570,1
26163580,1
26163590,1
26163600,1
26163610,1
26163620,1
26163630,1
26163640,1
26163650,1
26163660,1
26163670,1
26163680,1
26163690,2
26163700,2
26163710,2
26163720,2
26163730,2
26163740,2
26163750,2
26163760,2
26163770,2
26163780,2
26163790,2
26163800,2
26163810,2
26163820,2
26163830,2
26163840,2
26163850,1
26163860,2
26163870,2
26163880,2
26163890,2
26163900,1
26163910,1
26163920,1
26163930,1
26163940,1
26163950,1
26163960,1
26163970,1
26163980,1
26163990,1
261631000,1
261631010,1
261631020,1
261631030,1
261631040,1
261631050,1
261631060,1
261631070,1
261631080,1
261631090,1
261631100,1
261631110,1
261631120,1
261631130,1
261631140,1
261631150,1
261631160,1
261631170,1
261631180,1
261631190,1
261631200,1
261631210,1
261631220,1
261631230,1
261631240,1
261631250,1
261631260,1
261631270,1
261631280,1
261631290,1
261631300,1
261631310,1
261631320,1
261631330,1
261631340,1
261631350,1
261631360,1
261631370,1
261631380,1
261631390,1
261631400,1
261631410,1
261631420,1
261631430,1
261631440,1
261631450,1
261631460,1
261631470,1
261631480,1
261631490,1
261631500,1
261631510,1
261631520,1
261631530,1
261631540,1
261631550,2
261631560,2
261631570,2
261631580,2
261631590,2
261631600,2
261631610,2
261631620,2
261631630,2
261631640,2
261631650,2
261631660,2
261631670,2
261631680,2
261631690,2
261631700,2
261631710,2
261631720,2
261631730,2
261631740,2
261631750,2
261631760,2
261631770,2
261631780,2
261631790,2
261631800,2
261631810,2
261631820,2
261631830,2
261631840,2
261631850,2
261631860,2
261631870,2
261631880,2
261631890,2
261631900,2
261631910,2
261631920,2
261631930,2
261631940,2
261631950,2
261631960,2
261631970,2
261631980,2
261631990,2
261632000,2
261632010,2
261632020,2
261632030,2
261632040,2
261632050,2
261632060,2
261632070,2
261632080,2
261632090,2
261632100,2
261632110,2
261632120,2
261632130,2
261632140,2
261632150,2
261632170,2
261632180,2
261632190,2
261632200,2
261632210,2
261632220,2
261632230,2
261632240,2
261632250,2
261632260,2
261632270,2
261632280,2
261632290,2
261632300,2
261632310,2
261632320,2
261632330,2
261632340,2
261632350,2
261632360,2
261632370,2
261632380,2
261632390,2
261632400,2
261632410,2
261632420,2
261632430,2
261632440,2
261632450,2
261632460,2
261632470,2
261632480,2
261632490,2
261632500,2
261632510,2
261632520,2
261632530,2
261632540,2
261632550,2
261632560,2
261632570,2
261632580,2
261632590,2
261632600,2
261632610,2
261632620,2
261632640,2
261632650,2
261632660,2
261632670,2
261632680,2
261632690,2
261632700,2
261632710,2
261632720,2
261632730,2
261632740,2
261632750,2
261632760,2
261632770,2
261632780,2
261632790,2
261632800,2
261632820,2
261632830,2
261632840,2
261632850,2
261632860,2
261632870,2
261632880,2
261632890,2
261632900,2
261632910,2
261632920,2
261632930,2
261632940,2
261632950,2
261632960,2
261632980,2
261632990,2
261633000,2
261633010,2
261633020,2
261633030,2
261633040,2
261633050,2
261633060,2
261633070,2
261633080,2
261633090,2
261633100,2
261633110,2
261633120,2
261633130,2
261633140,2
261633150,2
261633160,2
261633170,2
261633180,2
261633190,2
261633200,2
261633210,2
261633220,2
261633230,2
261633240,2
261633250,2
261633260,2
261633270,2
261633280,2
261633290,2
261633300,2
261633310,2
261633320,2
261633330,2
261633340,2
261633350,2
261633360,2
261633370,2
261633380,2
261633390,2
261633400,2
261633410,2
261633420,2
261633430,2
261633440,2
261633450,2
261633460,2
261633470,2
261633480,2
261633490,2
261633500,2
261633510,2
261633520,2
261633530,2
261633540,2
261633550,2
261633560,2
261633570,2
261633580,2
261633590,2
261633600,2
261633610,2
261633620,2
261633630,2
261633640,2
261633660,2
261633670,2
261633680,2
261633690,2
261633700,2
261633710,2
261633720,2
261633730,2
261633740,2
261633750,2
261633760,2
261633770,2
261633780,2
261633790,2
261633800,2
261633810,2
261633820,2
261633830,2
261633840,2
261633850,2
261633860,2
261633870,2
261633880,2
261633890,2
261633900,2
261633910,2
261633920,2
261633930,2
261633940,2
261633950,2
261633960,2
261633970,2
261633980,2
261633990,2
261634000,2
261634010,2
261634020,2
261634030,2
261634040,2
261634050,2
261634060,2
261634070,2
261634080,2
261634090,2
261634100,2
261634110,2
261634120,2
261634130,2
261634140,2
261634150,2
261634160,2
261634170,2
261634180,2
261634190,2
261634200,2
261634210,2
261634220,2
261634230,2
261634240,2
261634250,2
261634260,2
261634270,2
261634280,2
261634290,2
261634300,2
261634310,2
261634320,2
261634330,2
261634340,2
261634350,2
261634360,1
261634370,1
261634380,2
261634390,2
261634400,2
261634410,2
261634420,2
261634430,2
261634440,2
261634450,2
261634460,2
261634470,2
261634480,2
261634490,2
261634500,2
261634510,2
261634520,2
261634530,2
261634540,2
261634550,2
261634560,2
261634570,2
261634580,2
261634590,2
261634600,2
261634610,2
261634620,2
261634630,2
261634640,2
261634650,2
261634660,2
261634670,2
261634680,2
261634690,2
261634700,1
261634710,2
261634720,2
261634730,2
261634740,2
261634750,2
261634760,2
261634770,2
261634780,2
261634790,2
261634800,2
261634810,2
261634820,2
261634830,2
261634840,2
261634850,2
261634860,2
261634870,2
261634880,2
261634890,2
261634900,2
261634910,2
261634920,2
261634930,2
261634940,2
261634950,2
261634960,2
261634970,2
261634980,2
261634990,2
261635000,2
261635010,2
261635020,2
261635050,2
261635060,2
261635070,2
261635080,1
261635090,1
261635100,1
261635110,1
261635120,1
261635130,1
261635140,1
261635150,1
261635160,1
261635170,1
261635180,1
261635190,1
261635200,1
261635210,1
261635220,1
261635230,1
261635240,1
261635250,1
261635260,2
261635270,1
261635280,2
261635290,2
261635300,2
261635310,1
261635320,2
261635330,2
261635340,2
261635350,2
261635360,2
261635370,2
261635380,2
261635390,2
261635400,2
261635410,2
261635420,2
261635430,2
261635440,2
261635450,2
261635460,2
261635470,2
261635480,2
261635490,2
261635500,2
261635510,1
261635520,1
261635530,1
261635540,1
261635550,1
261635560,2
261635570,2
261635580,2
261635590,2
261635600,2
261635610,2
261635620,2
261635630,2
261635640,2
261635650,2
261635660,2
261635670,2
261635680,2
261635690,2
261635700,2
261635710,2
261635720,2
261635730,2
261635740,2
261635750,2
261635760,2
261635770,2
261635780,2
261635790,2
261635800,2
261635810,2
261635820,2
261635830,2
261635840,2
261635850,2
261635860,2
261635870,2
261635880,2
261635890,2
261635900,2
261635910,2
261635920,2
261635930,2
261635940,2
261635950,2
261635960,2
261635970,2
261635980,2
261635990,2
261636000,2
261636010,2
261636020,2
261636030,2
261636040,2
261636050,2
261636060,2
261636070,2
261636080,2
261636090,2
261636100,2
261636110,2
261636120,2
261636130,2
261636140,2
261636150,2
261636160,2
261636170,2
261636180,2
261636190,2
261636200,2
261636210,2
261636220,2
261636230,2
261636240,2
261636250,2
261636260,2
261636270,2
261636280,2
261636290,2
261636300,2
261636310,2
261636320,2
261636330,2
261636340,2
261636350,2
261636360,2
261636370,2
261636380,2
261636390,2
261636400,2
261636410,2
261636420,2
261636430,2
261636440,2
261636450,2
261636460,2
261636470,2
261636480,2
261636490,2
261636500,2
261636510,2
261636520,2
261636530,2
261636540,2
261636550,2
261636560,2
261636570,2
261636580,2
261636590,2
261636600,2
261636610,2
261636620,2
261636630,2
261636640,2
261636650,2
261636660,2
261636670,2
261636680,2
261636690,2
261636700,2
261636710,2
261636720,1
261636730,1
261636740,1
261636750,1
261636760,1
261636770,1
261636780,2
261636790,2
261636800,2
261636810,2
261636820,2
261636830,1
261636840,1
261636850,1
261636860,1
261636870,1
261636880,1
261636890,1
261636900,1
261636910,1
261636920,1
261636930,1
261636940,1
261636950,1
261636960,1
261636970,1
261636980,1
261636990,1
261637000,1
261637010,1
261637020,1
261637030,1
261637040,1
261637050,1
261637060,1
261637070,1
261637080,1
261637090,1
261637100,1
261637110,1
261637120,1
261637130,1
261637140,1
261637150,1
